evidence_id,tier,source_name,source_type,title,source_url,published_date,captured_date,entity_count,entities,facts_supported,relationships_supported,strategic_questions
ev-cfia-pbr-last-call,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Plant Breeders' Rights record - Last Call,https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00009081e.shtml,,2026-08-03,2,"Last Call; Fall Creek Farm & Nursery, Inc.",1,0,sq-premium-trait-challengers; sq-global-genetics-reach; sq-testing-candidates
ev-cfia-pbr-sekoya-grande,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Plant Breeders' Rights record - Sekoya Grande,https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00011182e.shtml,,2026-08-03,5,"SEKOYA Grande; Fall Creek Farm & Nursery, Inc.; Fruit firmness; Fruit size; Eating quality",2,0,sq-premium-trait-challengers; sq-global-genetics-reach; sq-testing-candidates
ev-cfia-pbr-top-shelf,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Plant Breeders' Rights record - Top Shelf,https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00008764e.shtml,,2026-08-03,4,"Top Shelf; Fall Creek Farm & Nursery, Inc.; Fruit firmness; Eating quality",1,0,sq-premium-trait-challengers; sq-global-genetics-reach; sq-testing-candidates
ev-cinven-planasa-ew-group,tier-1,Cinven,private_equity_press_release,Cinven and Label Investments to sell Planasa to EW Group,https://www.cinven.com/news-insights/cinven-and-label-investments-to-sell-planasa-to-ew-group/,,2026-08-04,6,"Plantas de Navarra, S.A.; Cinven; EW Group; Advanced Berry Breeding B.V.; Germany; Netherlands",2,5,sq-competitor-expansion; sq-global-genetics-reach
ev-ciopora-united-exports-pbr-2020,tier-1,CIOPORA,industry_association_report,United Exports Group enforces its PBR in blueberries,https://www.ciopora.org/post/united-exports-group-enforces-its-pbr-in-blueberries-south-african-grower-in-breach-of-contract,2020-11-06,2026-08-04,14,United Exports; CIOPORA; OZblu; South Africa; Netherlands; Australia; Julieta; Bella; Magica; Bonita; Magnifica; Elaina; Dina; Olivia,3,8,sq-global-genetics-reach; sq-public-record-gaps
ev-costa-african-blue-2023,tier-1,Costa Group Holdings Pty Ltd,company_press_release,African Blue broadens supply,https://costagroup.com.au/2023/04/03/african-blue-broadens-supply/,2023-04-03,2026-08-04,6,African Blue; Costa Group Holdings Pty Ltd; Arana; Costa Variety Improvement Program; Morocco; Zimbabwe,1,6,sq-genetics-geographic-spread; sq-competitor-expansion
ev-costa-heaviest-blueberry-2024,tier-1,Costa Group Holdings Pty Ltd,company_press_release,World's heaviest blueberry,https://costagroup.com.au/2024/03/12/worlds-heaviest-blueberry/,2024-03-12,2026-08-04,5,Eterna; Costa Group Holdings Pty Ltd; Costa Variety Improvement Program; Fruit size; Australia,2,1,sq-premium-trait-challengers; sq-emerging-varieties
ev-costa-ownership-2024,tier-1,Costa Group Holdings Pty Ltd,company_press_release,Costa Group enters new ownership phase as experienced consortium takes control,https://costagroup.com.au/2024/02/26/costa-group-enters-new-ownership-phase-as-experienced-consortium-takes-control/,2024-02-26,2026-08-04,5,"Costa Group Holdings Pty Ltd; Driscoll's, Inc.; Paine Schwartz Partners; British Columbia Investment Management Corporation; Australia",1,3,sq-competitor-expansion; sq-global-genetics-reach
ev-costa-vip,tier-1,Costa Group Holdings Pty Ltd,company_website,Costa - Variety Improvement Program,https://costagroup.com.au/our-categories/berries-international/variety-improvement-program/,,2026-08-04,5,Costa Group Holdings Pty Ltd; Costa Variety Improvement Program; Australia; Morocco; China,3,2,sq-global-genetics-reach; sq-emerging-varieties; sq-competitor-expansion
ev-driscolls-cbc-appeal-2025,tier-1,"Business Wire (Driscoll's, Inc.)",company_press_release,Driscoll's files appeal in strawberry patent case,https://www.businesswire.com/news/home/20250514403283/en/Driscolls-Files-Appeal-in-Strawberry-Patent-Case,2025-05-14,2026-08-04,2,"Driscoll's, Inc.; United States",2,1,sq-global-genetics-reach; sq-competitor-expansion
ev-eureka-blueberries-our-story,tier-1,Eureka Blueberries,brand_website,Our Story,https://www.eurekablueberries.com.au/our-story,,2026-08-03,4,Eureka; Coles Supermarkets; Mountain Blue Orchards Pty Ltd; Australia,1,1,sq-global-genetics-reach
ev-fall-creek-commercial-platforms-2026,tier-1,Fall Creek Catalogs,company_website,Commercial Platforms,https://fallcreekcatalogs.com/commercial-platforms/,2026-01-29,2026-08-03,3,"Fall Creek Farm & Nursery, Inc.; SEKOYA; Fall Creek Collection",3,2,sq-global-genetics-reach; sq-competitor-expansion
ev-fall-creek-our-history,tier-1,Fall Creek Farm & Nursery,company_website,Our History,https://www.fallcreeknursery.com/about/about-fall-creek/our-history,,2026-08-03,2,"Fall Creek Farm & Nursery, Inc.; United States",1,1,sq-global-genetics-reach
ev-fallcreek-catalog-blue-ribbon,tier-1,Fall Creek Catalogs,company_catalog,Blue Ribbon,https://fallcreekcatalogs.com/2025/01/23/blue-ribbon/,2025-01-23,2026-08-03,3,"Blue Ribbon; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life",1,0,sq-premium-trait-challengers; sq-repeated-trait-claims
ev-fallcreek-catalog-last-call,tier-1,Fall Creek Catalogs,company_catalog,Last Call,https://fallcreekcatalogs.com/2025/01/23/last-call/,2025-01-23,2026-08-03,3,"Last Call; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life",1,0,sq-premium-trait-challengers; sq-repeated-trait-claims
ev-fallcreek-catalog-sekoya-beauty,tier-1,Fall Creek Catalogs,company_catalog,SEKOYA® Beauty™ 'FCM12-097',https://fallcreekcatalogs.com/2025/01/23/sekoya-beauty-fcm12-097/,2025-01-23,2026-08-03,3,"SEKOYA Beauty; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life",1,0,sq-premium-trait-challengers; sq-repeated-trait-claims
ev-fallcreek-catalog-sekoya-fiesta,tier-1,Fall Creek Catalogs,company_catalog,SEKOYA® Fiesta™ 'FC13-113',https://fallcreekcatalogs.com/2025/01/23/sekoya-fiesta-fc13-113/,2025-01-23,2026-08-03,3,"SEKOYA Fiesta; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life",1,0,sq-premium-trait-challengers; sq-repeated-trait-claims
ev-fallcreek-catalog-sekoya-grande,tier-1,Fall Creek Catalogs,company_catalog,SEKOYA® Grande™ 'FC13-122',https://fallcreekcatalogs.com/2025/01/23/sekoya-grandetm-fc13-122/,2025-01-23,2026-08-03,3,"SEKOYA Grande; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life",1,0,sq-premium-trait-challengers; sq-repeated-trait-claims
ev-fallcreek-catalog-sekoya-pop,tier-1,Fall Creek Catalogs,company_catalog,SEKOYA® Pop™ 'FCM14-052',https://fallcreekcatalogs.com/2025/01/23/sekoya-pop-fcm14-052/,2025-01-23,2026-08-03,3,"SEKOYA Pop; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life",1,0,sq-premium-trait-challengers; sq-repeated-trait-claims
ev-fallcreek-catalog-top-shelf,tier-1,Fall Creek Catalogs,company_catalog,Top Shelf,https://fallcreekcatalogs.com/2025/01/23/top-shelf/,2025-01-23,2026-08-03,4,"Top Shelf; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life; Disease susceptibility",2,0,sq-premium-trait-challengers; sq-repeated-trait-claims
ev-ffsp-emerald,tier-1,"Florida Foundation Seed Producers, Inc.",licensing_body_website,Florida Foundation Seed Producers variety page - Emerald,https://ffsp.net/varieties/blueberry/emerald/,,2026-08-03,4,"Emerald; Florida Foundation Seed Producers, Inc.; University of Florida; Disease susceptibility",1,0,sq-global-genetics-reach; sq-genetics-geographic-spread; sq-public-record-gaps
ev-ffsp-farthing,tier-1,"Florida Foundation Seed Producers, Inc.",licensing_body_website,Florida Foundation Seed Producers variety page - Farthing,https://ffsp.net/varieties/blueberry/farthing/,,2026-08-03,4,"Farthing; Florida Foundation Seed Producers, Inc.; University of Florida; Chilling requirement",1,0,sq-global-genetics-reach; sq-genetics-geographic-spread; sq-public-record-gaps
ev-ffsp-jewel,tier-1,"Florida Foundation Seed Producers, Inc.",licensing_body_website,Florida Foundation Seed Producers variety page - Jewel,https://ffsp.net/varieties/blueberry/jewel/,,2026-08-03,4,"Jewel; Florida Foundation Seed Producers, Inc.; University of Florida; USPP011807P2 - Jewel 'FL92-176'",1,0,sq-global-genetics-reach; sq-genetics-geographic-spread; sq-public-record-gaps
ev-ffsp-optimus,tier-1,"Florida Foundation Seed Producers, Inc.",licensing_body_website,Florida Foundation Seed Producers variety page - Optimus,https://ffsp.net/varieties/blueberry/optimus/,,2026-08-03,6,"Optimus; Florida Foundation Seed Producers, Inc.; University of Florida; Fruit firmness; Fruit size; Chilling requirement",2,0,sq-global-genetics-reach; sq-genetics-geographic-spread; sq-public-record-gaps
ev-freshuelva-atlantic-blue,tier-1,Freshuelva,industry_association_profile,Atlantic Blue S.L. - member profile,https://freshuelva.es/en/atlantic-blue-s-l-2/,,2026-08-04,2,Atlantic Blue / Royal Berries blueberry breeding programme; Spain,1,0,sq-global-genetics-reach
ev-fruitist-brands,tier-1,Fruitist (Agrovision Corp.),brand_website,Fruitist - Our brands,https://www.fruitist.com/our-brands,,2026-08-04,4,Fruitist; Agrovision Corp. (Fruitist); Big Skye; China,1,1,sq-public-record-gaps; sq-premium-trait-challengers
ev-hortifrut-annual-report-2020,tier-1,Hortifrut S.A.,company_annual_report,Hortifrut Annual Report 2020,https://investor.hortifrut.com/wp-content/uploads/2021/07/annual-report-hortifrut-2020.pdf,2021-07-01,2026-08-04,2,Hortifrut S.A.; Chile,1,1,sq-competitor-expansion
ev-hortifrut-genetic-development,tier-1,Hortifrut S.A.,company_website,Hortifrut - Genetic Development,https://www.hortifrut.com/innovation/genetic-development/,,2026-08-04,13,"Hortifrut S.A.; Berry Blue, LLC; Michigan Blueberry Growers Association; Berry Blue blueberry breeding programme; Atlantic Blue / Royal Berries blueberry breeding programme; Keepsake; Medallion; Chile; Peru; Mexico; China; United States; Mountain Blue Orchards Pty Ltd",6,8,sq-global-genetics-reach; sq-competitor-expansion; sq-genetics-geographic-spread
ev-hortifrut-integrated-report-2023,tier-1,Hortifrut S.A.,company_annual_report,Hortifrut Integrated Annual Report 2023 (English),https://investor.hortifrut.com/wp-content/uploads/2024/07/MEMORIA-INTEGRADA-HF-2023_ENGLISH.pdf,2024-07-01,2026-08-04,2,Hortifrut S.A.; Canada,2,0,sq-competitor-expansion
ev-hortifrut-investor-company,tier-1,Hortifrut S.A.,company_website,Hortifrut - Company (investor site),https://investor.hortifrut.com/en/company/,,2026-08-04,6,Hortifrut S.A.; Michigan Blueberry Growers Association; Naturipe Farms; Chile; Colombia; Portugal,3,3,sq-competitor-expansion; sq-genetics-geographic-spread
ev-hortifrut-mbo-genetics-2026,tier-1,Hortifrut S.A.,company_press_release,Naturipe Farms and Hortifrut expand berry genetics platform with Mountain Blue,https://www.hortifrut.com/naturipe-farms-and-hortifrut-expand-one-of-the-worlds-broadest-berry-geneticsplatforms-to-deliver-the-next-generation-of-premium-berriesnaturipe-farms-and-hortifrut-expand-one-of-the-world/,2026-07-30,2026-08-04,7,Hortifrut S.A.; Naturipe Farms; Mountain Blue Orchards Pty Ltd; United States; Mexico; Peru; Michigan Blueberry Growers Association,2,2,sq-global-genetics-reach; sq-competitor-expansion; sq-genetics-geographic-spread
ev-ifc-united-exports-2019,tier-1,International Finance Corporation,development_finance_press_release,"IFC, FMO and IFU Help South Africa's Leading Blueberry Producer Expand",https://www.ifc.org/en/pressroom/2019/ifc-fmo-and-ifu-help-south-africas-leading-blueberry-producer-in,2019-01-29,2026-08-03,2,United Exports; South Africa,1,1,sq-competitor-expansion; sq-genetics-geographic-spread
ev-ipaustralia-pvj-33-4,tier-1,IP Australia,government_registry,"Plant Varieties Journal, Volume 33 Number 4",https://www.ipaustralia.gov.au/tools-and-research/professional-resources/ip-rights-journals/~/-/media/Project/IPA/IPAustralia/PDF/PBR-Journals/Volume-33-Number-4.pdf?rev=a440897af4f5455e9ca3eb491a170803,,2026-08-04,4,"IP Australia; Driscoll's, Inc.; Australia; Hortifrut S.A.",1,2,sq-public-record-gaps; sq-genetics-geographic-spread
ev-mbg-berry-blue-varieties,tier-1,MBG Marketing (Michigan Blueberry Growers),company_website,"Proprietary berry varieties - Berry Blue, LLC",https://www.blueberries.com/proprietary-berry-varieties-berry-blue-llc/,,2026-08-04,8,"Michigan Blueberry Growers Association; Berry Blue, LLC; Berry Blue blueberry breeding programme; Keepsake; Medallion; USPP024807P3; USPP032574P3; Hortifrut S.A.",4,6,sq-global-genetics-reach; sq-emerging-varieties; sq-public-record-gaps
ev-mbo-eureka-blueberries,tier-1,Mountain Blue,company_website,Eureka Blueberries,https://www.mountainblue.com.au/eureka-blueberries,,2026-08-03,6,Mountain Blue Orchards Pty Ltd; Eureka; Eureka; Fruit firmness; Eureka Sunrise; Eating quality,3,1,sq-premium-trait-challengers; sq-public-record-gaps
ev-mbo-history,tier-1,Mountain Blue,company_website,History,https://www.mountainblue.com.au/history,,2026-08-03,1,Mountain Blue Orchards Pty Ltd,1,0,sq-public-record-gaps
ev-mbo-home,tier-1,Mountain Blue,company_website,Mountain Blue home page,https://www.mountainblue.com.au/,,2026-08-03,2,Mountain Blue Orchards Pty Ltd; Australia,2,1,sq-global-genetics-reach; sq-public-record-gaps
ev-nda-za-variety-list-2025,tier-1,South African Department of Agriculture,government_registry,Berries South Africa blueberry variety list 2025,https://www.nda.gov.za/images/Branches/AgricProducHealthFoodSafety/food-safety-and-quality-assurance/export-regulations-and-standards/other-minor-fruits-/berriesza-variety-list-2025.pdf,2025-01-01,2026-08-03,12,"South Africa; SEKOYA Beauty; SEKOYA Pop; SEKOYA Grande; SEKOYA Crunch; SEKOYA Fiesta; Eureka; Eureka Sunrise; Twilight; SEKOYA; Fall Creek Farm & Nursery, Inc.; Mountain Blue Orchards Pty Ltd",7,0,sq-global-genetics-reach; sq-genetics-geographic-spread; sq-public-record-gaps
ev-ozblu-around-the-world-2019,tier-1,OZblu,company_website,Around the world in thirty years,https://www.ozblu.com/news/around-the-world-in-thirty-years/,2019-05-21,2026-08-03,7,Nature Select; United Exports; OZblu; Nature Select Blueberry Breeding Program; Australia; Mountain Blue Orchards Pty Ltd; Mountain Blue Blueberry Breeding Program,2,3,sq-global-genetics-reach; sq-public-record-gaps
ev-ozblu-migiva-2019,tier-1,OZblu,company_press_release,MIGIVA Group to invest US$32 million in OZblu production in North America,https://www.ozblu.com/news/migiva-group-to-invest-u32-million-as-they-embark-an-ozblu-production-in-north-america/,2019-03-25,2026-08-03,3,United Exports; OZblu; United States,1,1,sq-competitor-expansion; sq-genetics-geographic-spread
ev-ozblu-oz-varieties,tier-1,OZblu,company_website,OZ Varieties,https://www.ozblu.com/oz-varieties/,,2026-08-03,4,OZ Varieties; United Exports; OZblu; Nature Select,1,5,sq-global-genetics-reach
ev-ozblu-where-we-grow-2024,tier-1,OZblu,company_website,Where We Grow,https://www.ozblu.com/our-story/where-we-grow/,2024-11-05,2026-08-03,3,OZblu; United Exports; Nature Select,1,0,sq-global-genetics-reach; sq-public-record-gaps
ev-planasa-about-us,tier-1,"Plantas de Navarra, S.A. (Planasa)",company_website,Planasa - About us,https://planasa.com/about-us/,,2026-08-04,3,"Plantas de Navarra, S.A.; Planasa blueberry breeding programme; Spain",1,1,sq-global-genetics-reach; sq-competitor-expansion
ev-planasa-blue-maldiva,tier-1,"Plantas de Navarra, S.A. (Planasa)",company_website,Planasa - Blueberry Blue Maldiva,https://planasa.com/variety/blueberry-blue-maldiva/,,2026-08-04,6,"Blue Maldiva; Plantas de Navarra, S.A.; Planasa blueberry breeding programme; Soluble solids content; Yield; Fruit size",1,1,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-planasa-blue-manila-datasheet,tier-1,"Plantas de Navarra, S.A. (Planasa)",company_technical_datasheet,Planasa Blue Manila data sheet (BL-1545),https://planasa.com/wp-content/uploads/data-sheet/bl-1545_en.pdf,,2026-08-04,10,"Blue Manila; Plantas de Navarra, S.A.; Planasa blueberry breeding programme; Soluble solids content; Yield; Fruit size; Post-harvest shelf life; Morocco; Spain; USPP031345P2",3,2,sq-repeated-trait-claims; sq-premium-trait-challengers; sq-testing-candidates
ev-planasa-blue-manila-page,tier-1,"Plantas de Navarra, S.A. (Planasa)",company_website,Planasa - Blueberry Blue Manila,https://planasa.com/variety/blueberry-bluemanila/,,2026-08-04,6,"Blue Manila; Plantas de Navarra, S.A.; Planasa blueberry breeding programme; Soluble solids content; Yield; Fruit size",1,1,sq-repeated-trait-claims; sq-premium-trait-challengers
ev-produce-report-sekoya-nova-2026,tier-1,Produce Report (carrying a Fall Creek press release),company_press_release,Fall Creek To Reveal New Sekoya Nova 'FC15-173' High-Chill Blueberry Variety,https://www.producereport.com/article/press-release-fall-creek-reveal-new-sekoya-nova-fc15-173-high-chill-blueberry-variety,2026-02-03,2026-08-03,6,"SEKOYA Nova; SEKOYA; Fall Creek Farm & Nursery, Inc.; Post-harvest shelf life; Fruit size; Fall Creek Blueberry Breeding Program",3,3,sq-emerging-varieties; sq-premium-trait-challengers; sq-repeated-trait-claims; sq-testing-candidates
ev-sekoya-story,tier-1,SEKOYA,company_website,Story,https://sekoyafruit.com/story/,,2026-08-03,9,"SEKOYA; Fall Creek Farm & Nursery, Inc.; SEKOYA Beauty; SEKOYA Pop; SEKOYA Grande; SEKOYA Crunch; SEKOYA Fiesta; Mexico; Fall Creek Blueberry Breeding Program",6,11,sq-global-genetics-reach; sq-public-record-gaps
ev-topfruit-megacrisp,tier-1,TopFruit,company_website,TopFruit - MegaCrisp,https://www.topfruit.co.za/fruit/megacrisp/,,2026-08-04,4,IQ Berries; TopFruit; South Africa; Australia,1,3,sq-global-genetics-reach; sq-public-record-gaps
ev-uaex-blueberry-trial-2024,tier-1,University of Arkansas Division of Agriculture,university_trial_report,2024 blueberry variety trial,https://www.uaex.uada.edu/farm-ranch/crops-commercial-horticulture/horticulture/ar-fruit-veg-nut-update-blog/posts/2024-blueberry-variety-trial.aspx,,2026-08-04,6,University of Arkansas Division of Agriculture; Soluble solids content; Titratable acidity; Yield; United States; Blueberry,2,2,sq-repeated-trait-claims; sq-testing-candidates; sq-public-record-gaps
ev-uf-breeding-colossus,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Colossus,https://www.blueberrybreeding.com/colossus,,2026-08-03,8,Colossus; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality; Yield; Machine-harvest suitability,3,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-breeding-emerald,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Emerald,https://www.blueberrybreeding.com/emerald,,2026-08-03,6,Emerald; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality,1,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-breeding-farthing,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Farthing,https://www.blueberrybreeding.com/farthing,,2026-08-03,6,Farthing; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality,1,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-breeding-jewel,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Jewel,https://www.blueberrybreeding.com/jewel,,2026-08-03,6,Jewel; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality,2,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-breeding-meadowlark,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Meadowlark,https://www.blueberrybreeding.com/meadowlark-fl01-173,,2026-08-03,8,Meadowlark; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality; Disease susceptibility; Machine-harvest suitability,2,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-breeding-optimus,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Optimus,https://www.blueberrybreeding.com/optimus,,2026-08-03,8,"Optimus; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality; Yield; Florida Foundation Seed Producers, Inc.",3,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-breeding-patrecia,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Patrecia,https://www.blueberrybreeding.com/patrecia,,2026-08-03,8,Patrecia; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality; Machine-harvest suitability; USPP027740P2 - Patrecia,3,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-breeding-sentinel,tier-1,University of Florida blueberry breeding programme,research_program_publication,UF blueberry breeding programme cultivar page - Sentinel,https://www.blueberrybreeding.com/sentinel,,2026-08-03,9,Sentinel; University of Florida; UF/IFAS Blueberry Breeding Program; Fruit firmness; Fruit size; Eating quality; Yield; Emerald; Machine-harvest suitability,4,2,sq-premium-trait-challengers; sq-testing-candidates; sq-repeated-trait-claims
ev-uf-ifas-hs1245,tier-1,UF/IFAS Extension,extension_publication,Blueberry Cultivars for Florida (HS1245),https://ask.ifas.ufl.edu/publication/HS1245,,2026-08-03,14,"University of Florida; Florida Foundation Seed Producers, Inc.; UF/IFAS Blueberry Breeding Program; Meadowlark; Sentinel; Machine-harvest suitability; Patrecia; USPP027740P2 - Patrecia; Emerald; Jewel; Farthing; Optimus; Colossus; United States",6,18,sq-global-genetics-reach; sq-public-record-gaps
ev-united-exports-overview,tier-1,United Exports,company_website,Overview,https://united-exports.com/overview/,,2026-08-03,1,United Exports,1,0,sq-global-genetics-reach
ev-united-exports-what-we-do,tier-1,United Exports,company_website,What We Do,https://united-exports.com/what-we-do/,,2026-08-03,10,United Exports; OZblu; South Africa; Australia; United States; Chile; Peru; Mexico; Spain; Zambia,1,6,sq-genetics-geographic-spread; sq-global-genetics-reach
ev-uspp024636-blue-ribbon,tier-1,United States Patent and Trademark Office plant patent record,patent_record,USPP024636P3 - Blue Ribbon,https://www.lens.org/lens/patent/191-850-593-909-815,,2026-08-03,5,"Blue Ribbon; USPP024636P3 - Blue Ribbon; Fall Creek Farm & Nursery, Inc.; Chilling requirement; Fall Creek Blueberry Breeding Program",2,3,sq-global-genetics-reach; sq-public-record-gaps
ev-uspp024661-cargo,tier-1,United States Patent and Trademark Office plant patent record,patent_record,USPP024661P3 - Cargo,https://patents.google.com/patent/USPP24661P3/en,,2026-08-03,6,"Cargo; USPP024661P3 - Cargo; Fall Creek Farm & Nursery, Inc.; Chilling requirement; Machine-harvest suitability; Fall Creek Blueberry Breeding Program",2,3,sq-global-genetics-reach; sq-public-record-gaps
